"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH","set"
"GO:0019742","pentacyclic triterpenoid metabolic process",2.042431e-06,0.2023559,6,29.65073,6.055957e-05,8.01884e-08,4.01980630704762e-07,1,0.8521596,1,1.173489,6.249609e-05,1,0.8521596,0.936649530270631,"all_human"
"GO:0001552","ovarian follicle atresia",2.042431e-06,0.2023559,5,24.70894,5.046631e-05,2.389468e-06,1.006176301184e-05,1,0.8521596,1,1.173489,6.249609e-05,1,0.8521596,0.936649530270631,"all_human"
"GO:0071247","cellular response to chromate",2.042431e-06,0.2023559,5,24.70894,5.046631e-05,2.389468e-06,1.006176301184e-05,1,0.8521596,1,1.173489,6.249609e-05,1,0.8521596,0.936649530270631,"all_human"
"GO:1902220","positive regulation of intrinsic apoptotic signaling pathway in response to osmotic stress",2.042431e-06,0.2023559,5,24.70894,5.046631e-05,2.389468e-06,1.006176301184e-05,1,0.8521596,1,1.173489,6.249609e-05,1,0.8521596,0.936649530270631,"all_human"
"GO:1904935","positive regulation of cell proliferation in midbrain",6.517738e-06,0.6457514,13,20.13159,0.0001312124,2.99403e-13,2.50148830285714e-12,1,0.8521596,1,1.173489,6.249609e-05,1,0.8521596,0.936649530270631,"all_human"
"GO:1990792","cellular response to glial cell derived neurotrophic factor",6.517738e-06,0.6457514,13,20.13159,0.0001312124,2.99403e-13,2.50148830285714e-12,1,0.8521596,1,1.173489,6.249609e-05,1,0.8521596,0.936649530270631,"all_human"
"GO:0002368","B cell cytokine production",2.042431e-06,0.2023559,4,19.76715,4.037305e-05,5.945151e-05,0.000207732984622942,1,0.8521596,1,1.173489,6.249609e-05,1,0.8521596,0.936649530270631,"all_human"
"GO:0002842","positive regulation of T cell mediated immune response to tumor cell",2.042431e-06,0.2023559,4,19.76715,4.037305e-05,5.945151e-05,0.000207732984622942,1,0.8521596,1,1.173489,6.249609e-05,1,0.8521596,0.936649530270631,"all_human"
"GO:0048291","isotype switching to IgG isotypes",2.042431e-06,0.2023559,4,19.76715,4.037305e-05,5.945151e-05,0.000207732984622942,1,0.8521596,1,1.173489,6.249609e-05,1,0.8521596,0.936649530270631,"all_human"
"GO:0014853","regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction",3.87279e-06,0.3837005,7,18.2434,7.065283e-05,1.737885e-07,8.35543613993423e-07,1,0.8521596,1,1.173489,6.249609e-05,1,0.8521596,0.936649530270631,"all_human"
"GO:0002642","positive regulation of immunoglobulin biosynthetic process",5.029827e-06,0.4983351,9,18.06014,9.083936e-05,3.337792e-09,1.94431186046923e-08,1,0.8521596,1,1.173489,6.249609e-05,1,0.8521596,0.936649530270631,"all_human"
"GO:1901835","positive regulation of deadenylation-independent decapping of nuclear-transcribed mRNA",3.954487e-06,0.3917947,7,17.8665,7.065283e-05,1.99722e-07,9.56035575845762e-07,1,0.8521596,1,1.173489,6.249609e-05,1,0.8521596,0.936649530270631,"all_human"
"GO:1904246","negative regulation of polynucleotide adenylyltransferase activity",3.954487e-06,0.3917947,7,17.8665,7.065283e-05,1.99722e-07,9.56035575845762e-07,1,0.8521596,1,1.173489,6.249609e-05,1,0.8521596,0.936649530270631,"all_human"
"GO:0043048","dolichyl monophosphate biosynthetic process",3.452389e-06,0.3420489,6,17.54135,6.055957e-05,1.660374e-06,7.13781818556027e-06,1,0.8521596,1,1.173489,6.249609e-05,1,0.8521596,0.936649530270631,"all_human"
"GO:0044795","trans-Golgi network to recycling endosome transport",2.94927e-06,0.2922019,5,17.11146,5.046631e-05,1.392573e-05,5.32390125130738e-05,1,0.8521596,1,1.173489,6.249609e-05,1,0.8521596,0.936649530270631,"all_human"
"GO:1902463","protein localization to cell leading edge",5.510819e-06,0.5459899,9,16.48382,9.083936e-05,7.276023e-09,4.06561302152866e-08,2,1.704319,2,1.173489,0.0001249922,1,0.7261692,0.936649530270631,"all_human"
