"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH","set"
"GO:0032972","regulation of muscle filament sliding speed",3.60637e-06,0.1740542,5,28.72668,0.000103599,1.151589e-06,6.98207503937008e-06,1,0.7080626,1,1.412304,6.601096e-05,1,0.7080626,0.835455149990986,"all_mouse"
"GO:0006489","dolichyl diphosphate biosynthetic process",2.964641e-06,0.1430825,4,27.9559,8.287922e-05,1.55773e-05,7.8335327314637e-05,1,0.7080626,1,1.412304,6.601096e-05,1,0.7080626,0.835455149990986,"all_mouse"
"GO:0034642","mitochondrion migration along actin filament",2.266257e-06,0.1093763,3,27.42823,6.215942e-05,0.0002009398,0.000824029442982456,1,0.7080626,1,1.412304,6.601096e-05,1,0.7080626,0.835455149990986,"all_mouse"
"GO:1905751","positive regulation of endosome to plasma membrane protein transport",2.266257e-06,0.1093763,3,27.42823,6.215942e-05,0.0002009398,0.000824029442982456,1,0.7080626,1,1.412304,6.601096e-05,1,0.7080626,0.835455149990986,"all_mouse"
"GO:0002502","peptide antigen assembly with MHC class I protein complex",2.388257e-06,0.1152644,3,26.02711,6.215942e-05,0.0002341396,0.000948001040519641,1,0.7080626,1,1.412304,6.601096e-05,1,0.7080626,0.835455149990986,"all_mouse"
"GO:1901835","positive regulation of deadenylation-independent decapping of nuclear-transcribed mRNA",4.047912e-06,0.1953644,5,25.5932,0.000103599,2.015693e-06,1.17216443225233e-05,1,0.7080626,1,1.412304,6.601096e-05,1,0.7080626,0.835455149990986,"all_mouse"
"GO:1904246","negative regulation of polynucleotide adenylyltransferase activity",4.047912e-06,0.1953644,5,25.5932,0.000103599,2.015693e-06,1.17216443225233e-05,1,0.7080626,1,1.412304,6.601096e-05,1,0.7080626,0.835455149990986,"all_mouse"
"GO:0070586","cell-cell adhesion involved in gastrulation",3.456797e-06,0.1668354,4,23.97573,8.287922e-05,2.825467e-05,0.000135775928891336,1,0.7080626,1,1.412304,6.601096e-05,1,0.7080626,0.835455149990986,"all_mouse"
"GO:1901389","negative regulation of transforming growth factor beta activation",1.045386e-05,0.5045348,11,21.80226,0.0002279179,8.504941e-12,9.9490328588025e-11,1,0.7080626,1,1.412304,6.601096e-05,1,0.7080626,0.835455149990986,"all_mouse"
"GO:0002940","tRNA N2-guanine methylation",4.75574e-06,0.2295263,5,21.784,0.000103599,4.385919e-06,2.42141205018979e-05,1,0.7080626,1,1.412304,6.601096e-05,1,0.7080626,0.835455149990986,"all_mouse"
"GO:0042946","glucoside transport",1.193486e-05,0.5760123,12,20.83289,0.0002486377,1.635926e-12,2.05511241266795e-11,2,1.416125,2,1.412304,0.0001320219,1,0.501343,0.77104805756579,"all_mouse"
