"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH","set"
"GO:0019742","pentacyclic triterpenoid metabolic process",2.042431e-06,0.07214071,6,83.1708,0.0001698706,1.83964e-10,5.29711657768053e-09,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0001552","ovarian follicle atresia",2.042431e-06,0.07214071,5,69.309,0.0001415588,1.532905e-08,3.1816241159306e-07,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0071247","cellular response to chromate",2.042431e-06,0.07214071,5,69.309,0.0001415588,1.532905e-08,3.1816241159306e-07,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:1902220","positive regulation of intrinsic apoptotic signaling pathway in response to osmotic stress",2.042431e-06,0.07214071,5,69.309,0.0001415588,1.532905e-08,3.1816241159306e-07,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0002368","B cell cytokine production",2.042431e-06,0.07214071,4,55.4472,0.0001132471,1.065137e-06,1.54192934906491e-05,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0002842","positive regulation of T cell mediated immune response to tumor cell",2.042431e-06,0.07214071,4,55.4472,0.0001132471,1.065137e-06,1.54192934906491e-05,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0048291","isotype switching to IgG isotypes",2.042431e-06,0.07214071,4,55.4472,0.0001132471,1.065137e-06,1.54192934906491e-05,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0043048","dolichyl monophosphate biosynthetic process",3.452389e-06,0.1219418,6,49.20378,0.0001698706,4.112101e-09,9.67998874042934e-08,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0044795","trans-Golgi network to recycling endosome transport",2.94927e-06,0.1041712,5,47.99792,0.0001415588,9.370985e-08,1.70793340186981e-06,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0002502","peptide antigen assembly with MHC class I protein complex",2.47849e-06,0.08754275,4,45.69196,0.0001132471,2.281541e-06,3.09513381639175e-05,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:1904535","positive regulation of telomeric loop disassembly",2.042431e-06,0.07214071,3,41.5854,8.493531e-05,5.927886e-05,0.000580167493427509,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0043105","negative regulation of GTP cyclohydrolase I activity",2.062855e-06,0.07286211,3,41.17366,8.493531e-05,6.104215e-05,0.000594122523557692,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
