"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH","set"
"GO:0014853","regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction",3.87279e-06,0.2469097,7,28.35044,0.0001097953,8.944147e-09,4.32229270558208e-08,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0002642","positive regulation of immunoglobulin biosynthetic process",5.029827e-06,0.3206766,9,28.06566,0.0001411654,7.403869e-11,4.36894673412556e-10,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0021588","cerebellum formation",8.406306e-06,0.535944,11,20.52453,0.0001725355,1.606322e-11,1.00416110204276e-10,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0022004","midbrain-hindbrain boundary maturation during brain development",8.406306e-06,0.535944,11,20.52453,0.0001725355,1.606322e-11,1.00416110204276e-10,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0036520","astrocyte-dopaminergic neuron signaling",8.406306e-06,0.535944,11,20.52453,0.0001725355,1.606322e-11,1.00416110204276e-10,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0014876","response to injury involved in regulation of muscle adaptation",7.362624e-06,0.4694041,9,19.17325,0.0001411654,1.999239e-09,1.03860979080142e-08,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0097291","renal phosphate ion absorption",1.142604e-05,0.7284672,11,15.1002,0.0001725355,3.942029e-10,2.17406368864208e-09,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0090341","negative regulation of secretion of lysosomal enzymes",1.135524e-05,0.7239531,10,13.81305,0.0001568504,5.650146e-09,2.79933250052711e-08,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:1903954","positive regulation of voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization",1.149378e-05,0.732786,10,13.64655,0.0001568504,6.327913e-09,3.11402420220643e-08,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:1904935","positive regulation of cell proliferation in midbrain",6.517738e-06,0.4155384,5,12.03258,7.842522e-05,7.314601e-05,0.00022690437189769,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
