"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH","set"
"GO:0032972","regulation of muscle filament sliding speed",3.60637e-06,0.1008593,5,49.57399,0.0001787821,7.994521e-08,1.37695105118421e-06,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0006489","dolichyl diphosphate biosynthetic process",2.964641e-06,0.08291213,4,48.24385,0.0001430257,1.84249e-06,2.32352544315992e-05,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0034642","mitochondrion migration along actin filament",2.266257e-06,0.0633804,3,47.33325,0.0001072693,4.046297e-05,0.000366293414453665,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1905751","positive regulation of endosome to plasma membrane protein transport",2.266257e-06,0.0633804,3,47.33325,0.0001072693,4.046297e-05,0.000366293414453665,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0002502","peptide antigen assembly with MHC class I protein complex",2.388257e-06,0.06679238,3,44.9153,0.0001072693,4.723522e-05,0.000419142243428184,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0070586","cell-cell adhesion involved in gastrulation",3.456797e-06,0.09667624,4,41.37521,0.0001430257,3.368565e-06,3.97606094229035e-05,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0090297","positive regulation of mitochondrial DNA replication",3.239992e-06,0.09061285,3,33.10789,0.0001072693,0.0001158583,0.000935009338471023,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1990046","stress-induced mitochondrial fusion",3.239992e-06,0.09061285,3,33.10789,0.0001072693,0.0001158583,0.000935009338471023,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0019742","pentacyclic triterpenoid metabolic process",2.266257e-06,0.0633804,2,31.5555,7.151285e-05,0.00192559,0.010827308032646,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1904227","negative regulation of glycogen synthase activity, transferring glucose-1-phosphate",9.120172e-06,0.2550639,8,31.36469,0.0002860514,3.539486e-10,9.17462806732673e-09,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1902389","ceramide 1-phosphate transport",2.295718e-06,0.06420435,2,31.15054,7.151285e-05,0.001974901,0.0110570804491018,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1901389","negative regulation of transforming growth factor beta activation",1.045386e-05,0.2923632,9,30.78363,0.0003218078,3.302919e-11,9.67230642281879e-10,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0043048","dolichyl monophosphate biosynthetic process",3.509676e-06,0.09815511,3,30.56387,0.0001072693,0.0001464374,0.0011450809832736,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0036166","phenotypic switching",5.854119e-06,0.1637221,5,30.53955,0.0001787821,8.552132e-07,1.16855331816284e-05,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:2000355","negative regulation of ovarian follicle development",2.396944e-06,0.06703534,2,29.83501,7.151285e-05,0.002148865,0.0118786498521959,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0018395","peptidyl-lysine hydroxylation to 5-hydroxy-L-lysine",2.406009e-06,0.06728886,2,29.7226,7.151285e-05,0.002164785,0.0119313834315789,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0070078","histone H3-R2 demethylation",2.406009e-06,0.06728886,2,29.7226,7.151285e-05,0.002164785,0.0119313834315789,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0070079","histone H4-R3 demethylation",2.406009e-06,0.06728886,2,29.7226,7.151285e-05,0.002164785,0.0119313834315789,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0051413","response to cortisone",2.41734e-06,0.06760576,2,29.58328,7.151285e-05,0.002184765,0.0120122878202436,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0035971","peptidyl-histidine dephosphorylation",2.456622e-06,0.06870435,2,29.11024,7.151285e-05,0.002254704,0.0123283522807018,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0042023","DNA endoreduplication",3.755943e-06,0.1050424,3,28.55988,0.0001072693,0.0001785567,0.00135260833506944,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1990261","pre-mRNA catabolic process",3.755943e-06,0.1050424,3,28.55988,0.0001072693,0.0001785567,0.00135260833506944,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0042543","protein N-linked glycosylation via arginine",5.058285e-06,0.1414651,4,28.27553,0.0001430257,1.490273e-05,0.000151928921884735,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0002479","antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",3.871522e-06,0.1082748,3,27.70727,0.0001072693,0.000195082,0.00146423358944954,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0050823","peptide antigen stabilization",3.871522e-06,0.1082748,3,27.70727,0.0001072693,0.000195082,0.00146423358944954,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0070377","negative regulation of ERK5 cascade",5.168198e-06,0.144539,4,27.67419,0.0001430257,1.620119e-05,0.000163133520846154,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1903839","positive regulation of mRNA 3'-UTR binding",7.025018e-06,0.1964687,5,25.44935,0.0001787821,2.071125e-06,2.5820025e-05,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1901194","negative regulation of formation of translation preinitiation complex",2.82149e-06,0.0789086,2,25.34578,7.151285e-05,0.002954158,0.0156057660443548,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0090341","negative regulation of secretion of lysosomal enzymes",4.236767e-06,0.1184897,3,25.31867,0.0001072693,0.0002537278,0.00185547312960894,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0035771","interleukin-4-mediated signaling pathway",1.982219e-05,0.5543672,14,25.25402,0.00050059,1.766081e-15,8.69097755263158e-14,2,1.111849,2,1.798806,0.000168152,1,0.3090403,0.607408037087087,"shared_mouse"
"GO:0032618","interleukin-15 production",4.4192e-06,0.1235918,3,24.27346,0.0001072693,0.0002868428,0.00206419585046729,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0052567","response to defense-related host reactive oxygen species production",4.4192e-06,0.1235918,3,24.27346,0.0001072693,0.0002868428,0.00206419585046729,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0071609","chemokine (C-C motif) ligand 5 production",4.4192e-06,0.1235918,3,24.27346,0.0001072693,0.0002868428,0.00206419585046729,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0033386","geranylgeranyl diphosphate biosynthetic process",9.00837e-06,0.2519371,6,23.81547,0.0002145386,2.861782e-07,4.35589841627907e-06,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1902220","positive regulation of intrinsic apoptotic signaling pathway in response to osmotic stress",1.204855e-05,0.3369619,8,23.74156,0.0002860514,3.054177e-09,6.74185108431703e-08,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0034477","U6 snRNA 3'-end processing",7.548145e-06,0.211099,5,23.68557,0.0001787821,2.930235e-06,3.51897028899083e-05,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1902977","mitotic DNA replication preinitiation complex assembly",7.782703e-06,0.2176589,5,22.97173,0.0001787821,3.396191e-06,4.00505767477478e-05,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0050703","interleukin-1 alpha secretion",4.696817e-06,0.1313559,3,22.83872,0.0001072693,0.0003423823,0.00242520795833333,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0044324","regulation of transcription involved in anterior/posterior axis specification",9.447646e-06,0.2642223,6,22.70815,0.0002145386,3.76834e-07,5.52380409854423e-06,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1990442","intrinsic apoptotic signaling pathway in response to nitrosative stress",9.447646e-06,0.2642223,6,22.70815,0.0002145386,3.76834e-07,5.52380409854423e-06,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1901630","negative regulation of presynaptic membrane organization",6.340608e-06,0.1773278,4,22.5571,0.0001430257,3.5759e-05,0.000328711594101124,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1903002","positive regulation of lipid transport across blood brain barrier",6.340608e-06,0.1773278,4,22.5571,0.0001430257,3.5759e-05,0.000328711594101124,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0006427","histidyl-tRNA aminoacylation",6.694522e-06,0.1872257,4,21.36459,0.0001430257,4.408824e-05,0.000394743544186047,2,1.111849,2,1.798806,0.000168152,1,0.3090403,0.607408037087087,"shared_mouse"
"GO:0000710","meiotic mismatch repair",1.554803e-05,0.4348318,9,20.69766,0.0003218078,1.035154e-09,2.47717840219378e-08,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0035611","protein branching point deglutamylation",1.426873e-05,0.3990536,8,20.04743,0.0002860514,1.118497e-08,2.2318789222561e-07,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0060381","positive regulation of single-stranded telomeric DNA binding",5.355542e-06,0.1497784,3,20.02958,0.0001072693,0.0005006722,0.00337650649046883,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0006430","lysyl-tRNA aminoacylation",7.162882e-06,0.2003243,4,19.96762,0.0001430257,5.718409e-05,0.000497368596744186,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0032203","telomere formation via telomerase",7.221427e-06,0.2019616,4,19.80574,0.0001430257,5.899989e-05,0.000512480796350365,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0090671","telomerase RNA localization to Cajal body",7.221427e-06,0.2019616,4,19.80574,0.0001430257,5.899989e-05,0.000512480796350365,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0016480","negative regulation of transcription from RNA polymerase III promoter",2.167523e-05,0.6061913,12,19.79573,0.0004290771,2.933968e-12,9.69839422222222e-11,3,1.667773,3,1.798806,0.000252228,1,0.1717902,0.428004133612486,"shared_mouse"
"GO:0007072","positive regulation of transcription involved in exit from mitosis",3.650184e-06,0.1020847,2,19.59157,7.151285e-05,0.004869087,0.0238266724598131,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
